施設名_データ,施設名,ObjectId
幡ヶ谷南第二自転車駐車場,幡ヶ谷南第二,1
あおい通り自転車等駐車場Ａ,あおい通り,2
あおい通り自転車等駐車場Ｂ,あおい通り,3
あおい通り自転車等駐車場Ｃ,あおい通り,4
あおい通り自転車等駐車場Ｄ,あおい通り,5
宇田川自転車駐車場（渋谷）,宇田川,6
金王坂上,金王坂上,7
金王坂中央第１,金王坂中央第一,8
金王坂中央第２,金王坂中央第二,9
甲州街道代々木第一自転車駐車場,甲州街道代々木第一,10
甲州街道代々木第二自転車駐車場Ａ,甲州街道代々木第二,11
甲州街道代々木第二自転車駐車場Ｂ,甲州街道代々木第二,12
桜丘自転車等駐車場,桜丘,13
参宮橋高架下バイク駐車場,参宮橋高架下,14
参宮橋高架下自転車駐車場,参宮橋高架下,15
渋谷駅ハチ公口自転車駐車場,渋谷駅ハチ公口,16
渋谷駅新南口自転車駐車場,渋谷駅新南口,17
渋谷道玄坂自転車駐車場　Ａエリア,渋谷道玄坂,18
渋谷道玄坂自転車駐車場　ＢＣＤエリア,渋谷道玄坂,19
千駄ヶ谷駅バイク,千駄ヶ谷駅,20
千駄ヶ谷駅前第二自転車駐車場,千駄ヶ谷駅第二,21
千駄ヶ谷駅第１自転車駐車場,千駄ヶ谷駅第一,22
代々木駅西口自転車駐車場,代々木駅西口,23
代々木駅東口自転車・原付専用駐車場,代々木駅東口,24
代々木駅北口第一自転車駐車場,代々木駅北口第一,25
代々木駅北口第二自転車駐車場,代々木駅北口第二,26
代々木上原駅自転車等駐車場,代々木上原駅 ,27
代々木上原駅第二自転車駐車場,代々木上原駅第二,28
代々木二丁目自動二輪車等駐車場,代々木二丁目,29
代々木八幡駅八幡橋高架下自転車駐車場,代々木八幡駅八幡橋高架下,30
代々木八幡駅北バイク駐車場,代々木八幡駅北 ,31
代々木八幡駅北自転車駐車場,代々木八幡駅北 ,32
幡ヶ谷高架下第一自転車等駐車場,幡ヶ谷駅高架下第一,33
幡ヶ谷南第一自転車・原付専用駐車場,幡ヶ谷南第一,34
恵比寿,サイカパーク恵比寿,35
笹塚,サイカパーク笹塚,36
初台,サイカパーク初台,37
笹塚東集積所,笹塚東自転車集積所,38
恵比寿集積所,恵比寿自転車集積所,39
西原集積所,西原自転車集積所,40
西原,西原自転車集積所,41
西原集積所,西原自転車集積所,42
西参道集積所,西原自転車集積所,43
上原集積所,西原自転車集積所,44
